DATE,CSUSHPINSA
8/1/13,159.417
9/1/13,159.696
10/1/13,159.579
11/1/13,159.387
12/1/13,159.308
1/1/14,159.402
2/1/14,159.908
3/1/14,161.224
4/1/14,163
5/1/14,164.713
6/1/14,166.24
7/1/14,167.163
8/1/14,167.478
9/1/14,167.27
10/1/14,166.939
11/1/14,166.689
12/1/14,166.498
1/1/15,166.3
2/1/15,166.693
3/1/15,168.151
4/1/15,170.026
5/1/15,171.904
6/1/15,173.505
7/1/15,174.551
8/1/15,174.998
9/1/15,175.113
10/1/15,175.124
11/1/15,175.225
12/1/15,175.203
1/1/16,175.12
2/1/16,175.361
3/1/16,176.68
4/1/16,178.574
5/1/16,180.43
6/1/16,182.016
7/1/16,183.133
8/1/16,183.785
9/1/16,184.088
10/1/16,184.169
11/1/16,184.393
12/1/16,184.581
1/1/17,184.834
2/1/17,185.218
3/1/17,186.724
4/1/17,188.73
5/1/17,190.735
6/1/17,192.477
7/1/17,193.736
8/1/17,194.588
9/1/17,195.072
10/1/17,195.348
11/1/17,195.726
12/1/17,196.136
1/1/18,196.406
2/1/18,197.208
3/1/18,198.89
4/1/18,200.949
5/1/18,202.837
6/1/18,204.415
7/1/18,205.348
8/1/18,205.806
