,importance
Functional_Mod,0.0
Functional_Min2,0.0
Functional_Min1,0.0
Functional_Maj1,0.0
Neighborhood_MeadowV,0.0
RoofMatl_Tar&Grv,0.0
Electrical_SBrkr,0.0
Electrical_Mix,0.0
Electrical_FuseP,0.0
Electrical_FuseF,0.0
Neighborhood_NridgHt,0.0
Neighborhood_Sawyer,0.0
HeatingQC_Po,0.0
Neighborhood_SawyerW,0.0
Heating_Wall,0.0
Heating_OthW,0.0
Heating_Grav,0.0
Heating_GasW,0.0
Heating_Floor,0.0
BsmtFinType2_Rec,0.0
Neighborhood_NPkVill,0.0
